piece,color,row,column,cpl
1,1,7,2,84
1,0,3,6,40
1,1,7,2,40
1,0,3,6,39
1,1,7,2,39
1,0,4,7,0
1,1,7,2,0
1,0,4,7,96
1,1,7,2,96
1,0,4,7,100
1,1,7,2,100
1,0,4,7,128
1,1,6,3,128
1,0,4,7,0
1,1,6,3,0
1,0,4,7,0
1,1,6,3,0
1,0,4,7,0
1,1,6,3,0
1,0,4,7,0
1,1,6,3,0
1,0,4,7,-30
1,1,6,3,-30
1,0,4,7,-15
1,1,6,3,-15
1,0,7,4,0
1,1,6,3,0
0,0,0,1,24
0,1,7,1,24
1,0,0,2,24
1,1,7,2,24
0,0,0,1,38
0,1,7,1,38
1,0,0,2,38
1,1,7,2,38
0,0,2,2,25
0,1,7,1,25
1,0,0,2,25
1,1,7,2,25
0,0,2,2,46
0,1,7,1,46
1,0,0,2,46
1,1,7,2,46
0,0,2,2,33
0,1,7,1,33
1,0,0,2,33
1,1,7,2,33
0,0,2,2,20
0,1,7,1,20
1,0,0,2,20
1,1,7,2,20
0,0,2,2,23
0,1,7,1,23
1,0,0,2,23
1,1,7,2,23
0,0,2,2,34
0,1,7,1,34
1,0,0,2,34
1,1,7,2,34
0,0,2,2,31
0,1,7,1,31
1,0,0,2,31
1,1,7,2,31
0,0,2,2,22
0,1,7,1,22
1,0,0,2,22
1,1,7,2,22
0,0,2,2,24
0,1,7,1,24
1,0,1,6,24
1,1,7,2,24
0,0,2,2,24
0,1,5,2,24
1,0,1,6,24
1,1,7,2,24
0,0,2,2,27
0,1,5,2,27
1,0,1,6,27
1,1,7,2,27
0,0,2,5,25
0,1,5,2,25
1,0,1,6,25
1,1,7,2,25
0,0,2,5,25
0,1,5,2,25
1,0,1,6,25
1,1,7,2,25
0,0,2,5,33
0,1,5,2,33
1,0,1,6,33
1,1,7,2,33
0,0,4,4,11
0,1,5,2,11
1,0,1,6,11
1,1,7,2,11
0,0,4,4,15
0,1,5,2,15
1,0,1,6,15
1,1,6,1,15
0,0,5,2,13
0,1,5,5,13
1,0,1,6,13
1,1,6,1,13
0,1,5,5,17
1,0,1,6,17
1,1,5,2,17
0,1,5,5,12
1,0,5,2,12
0,1,5,5,11
1,0,0,2,11
0,1,5,5,5
1,0,0,2,5
0,1,5,5,45
1,0,0,2,45
0,1,5,5,30
1,0,2,4,30
0,1,5,5,51
1,0,2,4,51
0,1,5,5,55
1,0,2,4,55
0,1,6,3,53
1,0,2,4,53
0,1,6,3,56
1,0,2,4,56
0,1,6,3,59
1,0,2,4,59
0,1,6,3,50
1,0,2,4,50
0,1,6,3,64
1,0,2,4,64
0,1,6,3,63
1,0,2,4,63
0,1,6,3,75
1,0,2,4,75
0,1,6,3,73
1,0,2,4,73
0,1,6,3,82
1,0,2,4,82
0,1,6,3,81
1,0,2,4,81
0,1,6,3,79
1,0,2,4,79
0,1,6,3,90
1,0,2,4,90
0,1,6,3,75
1,0,2,4,75
0,1,6,3,73
1,0,2,4,73
0,1,6,3,86
1,0,2,4,86
0,1,6,3,49
1,0,2,4,49
0,1,6,3,56
1,0,2,4,56
0,1,6,3,46
1,0,2,4,46
0,1,6,3,59
1,0,2,4,59
0,1,6,3,54
1,0,0,2,54
0,1,6,3,64
1,0,0,2,64
0,1,6,3,54
1,0,0,2,54
0,1,6,3,69
1,0,0,2,69
0,1,6,3,62
1,0,0,2,62
0,1,6,3,63
1,0,0,2,63
0,1,6,3,39
1,0,1,3,39
0,1,6,3,37
1,0,1,3,37
0,1,6,3,39
1,0,1,3,39
0,1,6,3,34
1,0,1,3,34
0,1,6,3,14
1,0,1,3,14
0,1,6,3,35
1,0,1,3,35
0,1,6,3,27
1,0,1,3,27
0,1,6,3,33
1,0,1,3,33
0,1,6,3,0
1,0,0,4,0
0,1,6,3,0
1,0,0,4,0
0,1,6,3,0
1,0,2,6,0
0,1,6,3,0
1,0,2,6,0
0,1,6,3,-26
1,0,2,6,-26
0,1,6,3,-15
1,0,2,6,-15
0,1,6,3,-97
1,0,2,6,-97
0,1,6,3,-77
1,0,2,6,-77
0,1,6,3,-90
1,0,2,6,-90
0,1,6,3,-83
1,0,2,6,-83
0,1,6,3,-126
1,0,3,7,-126
0,1,6,3,-124
1,0,3,7,-124
0,1,6,3,-134
1,0,3,7,-134
0,1,6,3,-132
1,0,3,7,-132
0,1,6,3,-172
1,0,3,7,-172
0,1,6,3,-182
1,0,3,7,-182
0,1,6,3,-198
1,0,3,7,-198
0,1,6,3,-220
1,0,3,7,-220
0,1,6,3,-192
1,0,3,7,-192
0,1,6,3,-187
1,0,3,7,-187
0,1,6,3,-159
1,0,3,7,-159
0,1,6,3,-181
1,0,3,7,-181
0,1,6,3,-175
1,0,3,7,-175
0,1,6,3,-145
1,0,3,7,-145
0,1,6,3,-142
1,0,0,4,-142
0,1,6,3,-131
1,0,0,4,-131
0,1,6,3,-213
1,0,2,2,-213
0,1,6,3,-163
1,0,2,2,-163
0,1,6,3,-289
1,0,2,2,-289
0,1,6,3,-281
1,0,2,2,-281
0,1,6,3,-280
1,0,2,2,-280
0,1,6,3,-300
1,0,2,2,-300
0,1,6,3,-345
1,0,2,2,-345
0,1,6,3,-366
1,0,2,2,-366
0,1,6,3,-326
1,0,2,2,-326
0,1,6,3,-404
1,0,2,2,-404
0,1,6,3,-372
1,0,2,2,-372
0,1,6,3,-418
1,0,2,2,-418
0,1,6,3,-656
1,0,2,2,-656
0,1,6,3,-640
1,0,2,2,-640
0,1,6,3,-606
1,0,2,2,-606
0,1,6,3,-655
1,0,2,2,-655
0,1,6,3,-645
1,0,2,2,-645
0,1,6,3,-702
1,0,2,2,-702
0,1,6,3,-677
1,0,2,2,-677
0,1,5,5,-746
1,0,2,2,-746
0,1,5,5,-608
1,0,2,2,-608
0,1,4,3,-783
1,0,2,2,-783
0,1,4,3,-888
1,0,4,4,-888
0,1,4,3,-998
1,0,4,4,-998
0,1,4,3,-958
1,0,4,4,-958
0,1,3,1,-1008
1,0,4,4,-1008
0,1,3,1,-852
1,0,4,4,-852
0,1,3,1,-989
1,0,4,4,-989
0,0,0,1,24
0,1,7,1,24
1,0,0,2,24
1,1,7,2,24
0,0,0,1,38
0,1,7,1,38
1,0,0,2,38
1,1,7,2,38
0,0,2,2,25
0,1,7,1,25
1,0,0,2,25
1,1,7,2,25
0,0,2,2,37
0,1,7,1,37
1,0,0,2,37
1,1,7,2,37
0,0,2,2,31
0,1,7,1,31
1,0,0,2,31
1,1,7,2,31
0,0,2,2,26
0,1,7,1,26
1,0,0,2,26
1,1,7,2,26
0,0,2,2,29
0,1,7,1,29
1,0,0,2,29
1,1,7,2,29
0,0,2,2,48
0,1,7,1,48
1,0,0,2,48
1,1,7,2,48
0,0,2,2,48
0,1,7,1,48
1,0,1,6,48
1,1,7,2,48
0,0,2,2,55
0,1,7,1,55
1,0,1,6,55
1,1,7,2,55
0,0,2,2,47
0,1,7,1,47
1,0,1,6,47
1,1,7,2,47
0,0,2,2,59
0,1,7,1,59
1,0,1,6,59
1,1,7,2,59
0,0,2,2,43
0,1,7,1,43
1,0,1,6,43
1,1,7,2,43
0,0,2,2,42
0,1,5,1,42
1,0,1,6,42
1,1,7,2,42
0,0,2,2,35
0,1,5,1,35
1,0,1,6,35
1,1,7,2,35
0,0,2,2,48
0,1,5,1,48
1,0,1,6,48
1,1,7,2,48
0,0,2,2,24
0,1,5,1,24
1,0,1,3,24
1,1,7,2,24
0,0,2,2,26
0,1,5,1,26
1,0,1,3,26
1,1,7,2,26
0,0,2,2,25
0,1,5,1,25
1,0,1,3,25
1,1,7,2,25
0,0,2,2,41
0,1,5,1,41
1,0,1,3,41
1,1,7,2,41
0,0,2,2,40
0,1,5,1,40
1,0,1,3,40
1,1,7,2,40
0,0,2,2,19
0,1,5,1,19
1,0,1,3,19
1,1,6,6,19
0,0,2,2,41
0,1,5,1,41
1,0,1,3,41
1,1,6,6,41
0,0,2,2,81
0,1,5,1,81
1,0,1,3,81
1,1,6,6,81
0,0,2,2,60
0,1,5,1,60
1,0,1,3,60
1,1,6,6,60
0,0,2,2,47
0,1,5,1,47
1,0,1,3,47
1,1,6,6,47
0,0,2,2,46
0,1,5,1,46
1,0,1,3,46
1,1,6,6,46
0,0,2,2,70
0,1,5,1,70
1,0,1,3,70
1,1,6,6,70
0,0,2,2,32
0,1,5,1,32
1,0,1,3,32
1,1,6,6,32
0,0,2,2,97
0,1,6,4,97
1,0,1,3,97
1,1,6,6,97
0,0,2,2,84
0,1,6,4,84
1,0,2,4,84
1,1,6,6,84
0,0,2,2,131
0,1,6,4,131
1,0,2,4,131
1,1,6,6,131
0,0,2,2,124
0,1,6,4,124
1,0,4,2,124
1,1,6,6,124
0,0,2,2,131
0,1,6,4,131
1,0,4,2,131
1,1,6,6,131
0,0,2,2,95
0,1,6,4,95
1,0,4,2,95
1,1,6,6,95
0,0,2,2,102
0,1,6,4,102
1,0,4,2,102
1,1,6,6,102
0,0,2,2,128
0,1,4,3,128
1,0,6,4,128
1,1,6,6,128
0,0,1,3,152
0,1,2,2,152
1,0,6,4,152
1,1,6,6,152
0,0,1,3,160
1,0,6,4,160
1,1,6,6,160
0,0,1,3,141
1,0,1,6,141
1,1,6,6,141
0,0,3,4,109
1,0,1,6,109
1,1,6,6,109
0,0,3,4,133
1,0,1,6,133
1,1,6,6,133
0,0,3,4,90
1,0,1,6,90
1,1,6,6,90
0,0,3,4,105
1,0,1,6,105
1,1,5,7,105
0,0,3,4,91
1,0,1,6,91
1,1,5,7,91
0,0,3,4,123
1,0,1,6,123
1,1,5,7,123
0,0,3,4,140
1,0,1,6,140
1,1,5,7,140
0,0,3,4,154
1,0,1,6,154
1,1,5,7,154
0,0,3,4,127
1,0,1,6,127
1,1,5,7,127
0,0,3,4,137
1,0,1,6,137
1,1,5,7,137
0,0,3,4,137
1,0,1,6,137
1,1,5,7,137
0,0,3,4,301
1,0,1,6,301
1,1,5,7,301
0,0,3,4,294
1,0,1,6,294
1,1,5,7,294
0,0,3,4,377
1,0,1,6,377
1,1,5,7,377
0,0,3,4,380
1,0,1,6,380
1,1,5,7,380
0,0,3,4,360
1,0,1,6,360
1,1,5,7,360
0,0,3,4,380
1,0,1,6,380
1,1,5,7,380
0,0,3,4,465
1,0,1,6,465
1,1,5,7,465
0,0,3,4,483
1,0,1,6,483
1,1,5,7,483
0,0,3,4,478
1,0,1,6,478
1,1,5,7,478
0,0,3,4,386
1,0,1,6,386
1,1,5,7,386
0,0,3,4,435
1,0,1,6,435
1,1,5,7,435
0,0,3,4,328
1,0,1,6,328
1,1,5,7,328
1,0,1,6,337
1,1,5,7,337
1,0,1,6,411
1,1,5,7,411
1,0,1,6,379
1,1,5,7,379
1,0,3,4,430
1,1,5,7,430
1,0,3,4,357
1,1,5,7,357
1,0,3,4,347
1,1,5,7,347
1,0,3,4,400
1,1,2,4,400
1,0,5,6,362
1,1,2,4,362
1,1,2,4,431
1,1,2,4,340
1,1,2,4,365
0,0,2,5,42
0,1,7,1,42
1,0,0,2,42
1,1,7,2,42
0,0,2,5,40
0,1,7,1,40
1,0,0,2,40
1,1,7,2,40
0,0,2,5,29
0,1,7,1,29
1,0,0,2,29
1,1,7,2,29
